Ownership Name,DBA Name,Street Address,City,State
Hirsch Ephraim G Etal,Hirsch Associates,Pier 1a,San+francisco,CA
Lilli Ann Corp,Lilli Ann Corp,1010 B St San Rafael 209,San+rafael,CA
J Camera Express Inc,J Camera Express Inc,535 Grand Ave,San Francisco,CA
Serrano Juarez Leticia,Letty Property & Personal Care,1315b Gateview Ave/treasure Island,San Francisco,CA
Isec Partners Inc,Isec Partners Inc,123 Mission St Ste 1020,San Francisco,CA
The Nik-O-Lok Co,Nik-O-Lok Co The,1470 Howard St,San Francisco,CA
Pac Utilities Supply Co,Pacific Utilites Supply Co,1140 Willow Pass Ct,Concord,CA
Patrick & Co,Patrick & Co,1390 Market St,San Francisco,CA
Sisson Dinair P,Dinairspa,170 Columbus Ave Ste 115,San Francisco,CA
"Island Fire Protection, Inc.","Island Fire Protection, Inc.",540 Alamo Dr,Vacaville,CA
Patrick & Co,90 Natoma St Building,90 Natoma St,San Francisco,CA
Bigcommerce Inc,Bigcommerce Inc,501 Folsom St 3rd Fl,San Francisco,CA
"Bottling Group,llc",Pepsi Bottling Group,29000 Hesperian Blvd,Hayward,CA
Spiess Julia B,Edition Ektalux,1656 Golden Gate Ave,San Francisco,CA
Rapp Norman S,Rapp Norm Racing Equipment,5 Cordova St,San Francisco,CA
Lee Kisung,Nina's Cleaners,3151 Mission St,San Francisco,CA
Eng Tommy W,361-365 2nd Av Apts,361 2nd Ave #365,San+francisco,CA
Eng Tommy W,365 2nd Av Apts,365 2nd Ave,San+francisco,CA
Metaxas Antone,3354 Sacramento St Apts,3354 Sacramento St,San Francisco,CA
Metaxas Antone,410 Shoreline St Apt,410 Shoreline,Mill+valley,CA
Cooke Margaret Etal,5098 Mission Bldg,5098 Mission St,San Francisco,CA
Comstock Thurman Co Inc,Comstock Thurman Co Inc,3435 Yale Dr,Santa+rosa,CA
Richard Elaine,283 20th Av Apts,283 20th Ave,San Francisco,CA
Comm & Network Solutions Grp,Computer Network Solutions,657 Mission St Ste 409,San Francisco,CA
Curtiss Sarah J,Grace Art Group,3664 16th St,San Francisco,CA
Yoffie Kwong Elaine,Elaine Kwong Design,131 Knollview Way,San Francisco,CA
Murphy Doris C,795 Vienna Apts,795 Vienna St,San Francisco,CA
Serena L & Joseph,973 Howard St Apts,973 Howard St,San Francisco,CA
Sincerely Tea Inc.,Tea Crush,970 Duncan Street St Apt F204,San Francisco,CA
Adventures Unlimited,Adventures Unlimited,30 Maiden Ln,San Francisco,CA
Stoncor Group Inc,Stoncor Group Inc,99 Maple Shade Nj,Brisbane+q4068,
Koury Samir,1035-1041 Guerrero Apts,1035 Guerrero St,San Francisco,CA
Smith Thomas S,1275 Stanyan Apts,1275 Stanyan St,San Francisco,CA
Moore Carolyn N,"Carolyn Moore, Lcsw",801 Portola Dr Ste 207,San Francisco,CA
Natl Picture Framing Ctrs Inc,Npfc Inc,1547 Pacific Ave,San Francisco,CA
Melissa Nittler,Melissa Nittler,210 Lisbon St,San Francisco,CA
Boboschi Joseph,3652 Mission Apts,3652 Mission St,San Francisco,CA
C Clean Inc,C Clean Janitorial,214 Phelan Ave B,San+francisco,CA
Deng Yilin,Mrcow Construction & Design,32 Holloway Ave,San Francisco,CA
Ibrahim & Jweinat Enterprises,Gold Coast Grill & Catering,1650 Holloway Ave C134,San Francisco,CA
Tarantino Dominic Etal,1630 Polk Rental,1630 Polk St,San Francisco,CA
Joycechild Marian,Joycechild Marian,220 Montgomery St 1081,San Francisco,CA
Joycechild Marian,Marian Joycechild,1902 Webster St 7,San Francisco,CA
Abrams Alcide,1110 Steiner Apts,1110 Steiner St,San Francisco,CA
Anixter Rosalie H,330 8th St Bldg,330 8th St,San+francisco,CA
Lee Sui Tsung & Helen S,5026 California Apartments,5026 California St,San Francisco,CA
Lee Sui Tsung & Helen S,2355-2357 Chestnut St Bldgs,2355 Chestnut St,San Francisco,CA
Lee Sui Tsung & Helen S,258 Collins Apartments,258 Collins St,San Francisco,CA
Lee Sui Tsung & Helen S,4000 Geary Blvd Apts,4000 Geary Blvd,San Francisco,CA
Cloudnoc Inc,Clearscale Managed Services,71 Stevenson St Ste 400,San Francisco,CA
Cloudnoc Inc,Cloudnoc Inc,71 Stevenson St Ste 400,San Francisco,CA
Usrca,Usrca,348 Church St,San Francisco,CA
Photo Philanthropy,Photo Philanthropy,333 Valencia St Ste 251,San Francisco,CA
Research Programming Serv Corp,Audrey Owen Design,569 Buena Vista Ave,San Francisco,CA
Research Programming Serv Corp,Reunion Communications,569 Buena Vista Ave,San Francisco,CA
Sergios Inc,Caffe Roma,885 Bryant St,San Francisco,CA
Passalacqua Duane Etal,2680-2682 Bush Apts,2680 Bush St,San Francisco,CA
White John H.,Jhw Locksmith Station,376 Fillmore St,San Francisco,CA
Artificial Stupidity Inc.,1072 Illinois Street,1072 Illinois Street,San Francisco,CA
Artificial Stupidity Inc.,Artificial Stupidity Inc.,414 Andover St,San Francisco,CA
Suchin Inc,Worth Hotel,641 Post St,San Francisco,CA
Lee Daniel & Susan,Portal Cleaners,181 West Portal Ave,San Francisco,CA
Function Engineering Inc,Function Engineering Inc,109 Stevenson St 6th Flr,San Francisco,CA
Barretto Jonathan M,123 Snapbacks,577 Buckingham Wy,San Francisco,CA
Cen Min Hua,Cen Min Hua,500 Folsom St #413,San Francisco,CA
Transbay Design Build Llc,Transbay Design Build Llc,1800 Prince St,Berkeley,CA
C&h Home Construction,C&h Home Construction,2000 Oakdale Ave,San Francisco,CA
Liu Elizabeth W,Transworld Realty & Develop Co,1178 Folsom St,San Francisco,CA
Starwood Hotels & Resorts,Trace Restaurant,181 3rd St,San+francisco,CA
Homelending Company Inc,Home Lending Company,180 Redwood St 325,San Francisco,CA
Haileselassie Wolde,Shoulder Dancing Authentic Ethiopian Foods,629 Fulton St,San Francisco,CA
Homelending Company Inc,Home Lending Company,601 Van Ness Ave,San Francisco,CA
Reed Mariko M,Mariko Reed,78 Buchanan St Apt 502,San Francisco,CA
Liang Ziyang,Young Violins,620 7th Ave,San+francisco,CA
Avis Caravello Attrny Srch Llc,Avis Caravello Attrny Srch Llc,188 South Park 3,San Francisco,CA
Katz Karen,Karen Katz,41 Milton St,San Francisco,CA
Photo Philanthropy,Catchlight,1150 25th St,San Francisco,CA
A & M Petroleum Corporation,Bayshore 76,975 Bayshore Blvd,San Francisco,CA
A & M Petroleum Corporation,Double A 76,301 25th Ave,San Francisco,CA
Kanodia Meghan,Svelte Metals,2121 Webster St Unit 10,San Francisco,CA
Triptych Strength Training Llc,Triptych Strength Training Llc,47 Rebecca Lane Ln,San Francisco,CA
Atlas Peak Capital Mngmnt Llc,Atlas Peak Capital Mngment Llc,400 Montgomery St Ste 900,San Francisco,CA
Homelending Company Inc,Home Lending Company,180 Redwood St 350,San Francisco,CA
Show Services Llc,Show Services Llc,920 E. Highway,Springtown,TX
Hsu Richard Y & Lillian L,2575 Washington St Apartments,2575 Washington St,San Francisco,CA
Priola George T,606 Oak Apartments,606 Oak St,San Francisco,CA
Bon Appetit Management Co,Bon Appetit@usf,2495 Golden Gate Ave,San+francisco,CA
Bon Appetit Management Co,Tony's Pizza South 300,1 Warriors Way Lvl 300 West,San Francisco,CA
Byrne James M,Byrne James M Law Offices Of,1374 Pacific Ave,San Francisco,CA
Stuermer Marcia R,Fossil Faux Studios,1268 Folsom St,San Francisco,CA
Lehmann Michael B,Lehmann Letter The-Be Your Etc,1855 8th Ave,San+francisco,CA
Dang Kim B,Dang Kim B - Dds,2000 Van Ness Ave Ste 203,San Francisco,CA
Mccormick Thomas E,433 Randolph Apts,433 Randolph St,San Francisco,CA
Mccormick Thomas E,1910-1914a Folsom Apts,1910 Folsom St,San Francisco,CA
Mccormick Thomas E,528 27th St Apts,528 27th St,San Francisco,CA
Bon Appetit Management Co,Bon Appetit @ Uber,1725 3rd St 5th,San+francisco,CA
Leeds Robert,Robert Leeds Woodworking,20 Highland Ave,San Francisco,CA
Turner George N,Control Technology Co,P O Box 271805 Concord Ca,Mexico,
Micro Motion Inc,Micro Motion Inc,7070 Winchester Cir,Boulder,CO
Kimmel David-Baumelgruen Isaa,Normandy Apartments,1155 Ellis St,San Francisco,CA
Tennant Sales And Service Co,Tennant Sales And Service Co,701 Lilac Dr,Minneapolis,MN
Perez Carlos M,Carlos Perez,119 Knowles Ave 3,Daly+city,CA
"Brightmark Energy Holdings, Llc","Brightmark Energy, Llc",235 Pine St Ste 1100,San Francisco,CA
Ncc Group Domain Services Inc,Ncc Group Domain Services Inc,123 Mission St Ste 900,San Francisco,CA
Ncc Group Domain Services Inc,Artemis Internet Inc,123 Mission St Ste 1020,San Francisco,CA
"The Wagmore Inn, Inc.",Fog City Dog Lodge,2280 Shafter Ave,San Francisco,CA
Microbiz Service Company,Microbiz,444 Jessie St,San Francisco,CA
Microbiz Service Company,Microbiz Security Company,444 Jessie St,San Francisco,CA
Zaracotas Tim,Aster Travel Agency Inc,1961 Ocean Ave,San Francisco,CA
Kemby Linda A,Kembytv,1550 Bay St Apt 414,San Francisco,CA
Effective Systems Inc,Effective Systems Inc,146 Galewood Cir,San Francisco,CA
Bellcore Constr Inc,"Bellcore Construction, Inc.",152 Kennedy Ave Bldg B,Campbell,CA
Serviceware Inc,Serviceware Inc,2455 Autumnvale Dr,San+jose,CA
Wakely David W,Wakely David Photography,544 Vermont St,San Francisco,CA
Genauzeau Dominique Maxime,Dmg Dis Moi Gargon,1231 Green St,San Francisco,CA
Sprint United Management Co,Sprint,Ca Ca Remote Worksite,Sacramento,CA
"Fig Health, Inc.","Fig Health, Inc.",388 Market St Ste 1300,San Francisco,CA
Catholic Charities Arch Sf,Catholic Charities Cyo,1111 Junipero Serra Blvd,San Francisco,CA
Peterson & Peterson,Peterson & Peterson,769 Monterey Blvd,San Francisco,CA
Peterson & Peterson,2411 Octavia St Apts,2411 Octavia St,San Francisco,CA
Lai Bryon,1271-1277 Vallejo Apt,1271 Vallejo St,San Francisco,CA
Delano Nursery Inc,Delano Shop,3289 Mission St,San Francisco,CA
Nubro Inc-Brojo A Ltd Partnrs,Staceys - 1804,581 Market St,San Francisco,CA
Garro Angelo,Omnivore Llc,47 Juniper St,San Francisco,CA
Garro Angelo,Renaissance Forge,47 Juniper St,San Francisco,CA
Tony Flores,Flores Plumbing,2658 Kelly St. St Bldg,Hayward,CA
1life Healthcare,1life Healthcare,355 Clay - 1 Embarcadero Center  Fl 17-19,San Francisco,CA
Kaller James L,Kaller James Lance Law Offices,456 Montgomery St 20,San Francisco,CA
Leonard T Crotty,Ltc Fintech Consulting,2270 Point St Apt 6,San Francisco,CA
Pacific Partners,2060 Pacific Apts,2060 Pacific Ave,San Francisco,CA
Birsinger Charlotte C Tr,3910-3918 Fulton St Apartments,3910 Fulton St,San Francisco,CA
Meyer & Meyer,1580 Custer Av Building,1580 Custer Ave,San Francisco,CA
Bay Area Brazilian Club,Friends Of Brazil,48 Sussex St,San Francisco,CA
Futton Inc,Futton Inc,555 California St 4925,San Francisco,CA
Steel Blue Llc,Steel Blue Llc,594 Howard St 300,San Francisco,CA
Bay Area Brazilian Club,The Bay Area Brazilian Club,48 Sussex St,San Francisco,CA
Okay Inc,Mp Design,221 Clara St Apt 2,San Francisco,CA
Fong Jim M,Place Architecture & Design,1247 Taylor St,San Francisco,CA
Abbott Laboratories Inc,Abbott Laboratories Inc,100 Abbott Park Rd,Abbott+park,IL
Lewis Andrew K,Prop House The,80 Industrial Way,San+francisco,CA
Founded Inc,Founded,471 Jessie St Unit A,San Francisco,CA
Storer A/storer M/vu K/hernandez Soto A,Exforma Architecture & Engineering,866 Broadway,San Francisco,CA
Opera Plaza Lp,Opera Plaza Lp,601 Van Ness Ave Ste 2043,San Francisco,CA
Lucy Hudson,Lean And Mean Productions,885 25th Ave Apt 202,San Francisco,CA
Mccormick Thomas E,2910 San Bruno Av Apts,2910 San Bruno Ave,San Francisco,CA
Mccormick Thomas E,501 Duncan Apts,501 Duncan St,San Francisco,CA
Kawahara Saichi,Kapalakiko Music Art & Craft P,330 Leland Ave,San Francisco,CA
Kawahara Saichi,Kapalakiko Music Art & Craft,800 Meade Ave,San Francisco,CA
Henderson Joe,Pacific Hauling,1166 Gilman Ave,San Francisco,CA
Sequoia Brass & Copper Inc,Sequoia Brass & Copper Inc,P O Box 4661 Hayward Ca,Hayward,CA
In-Language Radio Inc,In-Language Radio Inc,342 Day St,San Francisco,CA
Efrain Perez,Waho Builder,260 San Pedro Ave,Pacifica,CA
Steel Blue Llc,Steel Blue Llc,580 Howard St  Unit 204,San Francisco,CA
826 National Inc,826 National Inc,44 Gough St #206,San Francisco,CA
