Ownership Name,DBA Name,Street Address,City,State,Business Start Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code Description,Parking Tax,Transient Occupancy Tax,Supervisor District,Neighborhoods - Analysis Boundaries,Business Location,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods
San Francisco Associates Inc,San Francisco Associates Inc.,847 Sansome St Fl 4,San Francisco,CA,1/2/00,1/1/10,,855 Sansome St Fl 3,San Francisco,94111,CA,Financial Services,FALSE,FALSE,3,North Beach,POINT (-122.40216 37.79794),106,6,3,23,106
Neirro Erainya Rodgers G Etal,239-245 Bartlett St Condo Assn,239 Bartlett St #245,San Francisco,CA,1/1/89,1/24/05,,191 Caselli Ave,San Francisco,94114,CA,,FALSE,FALSE,9,Mission,POINT (-122.41961 37.75313),53,3,2,20,53
Merrill Lynch Pierce Etal Inc,Merrill,5268 Diamond Heights Blvd,San Francisco,CA,1/1/13,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,,FALSE,FALSE,8,Glen Park,POINT (-122.41961 37.75313),57,9,5,10,57
Merrill Lynch Pierce Etal Inc,Merrill,6 Leland Ave,San Francisco,CA,1/1/13,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,,FALSE,FALSE,10,Visitacion Valley,POINT (-122.40383 37.71126),75,9,9,40,75
Merrill Lynch Pierce Etal Inc,Merrill,302 Folsom Ave,San Francisco,CA,1/1/13,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,,FALSE,FALSE,6,Financial District/South Beach,POINT (-122.392845 37.788628),32,1,10,8,32
Merrill Lynch Pierce Etal Inc,Merrill,425 Market St,San Francisco,CA,1/1/13,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,,FALSE,FALSE,6,Financial District/South Beach,POINT (-122.398445 37.791466),108,6,10,8,108
Merrill Lynch Pierce Etal Inc,Merrill,445 Powell St,San+francisco,CA,1/1/13,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,,FALSE,FALSE,3,Nob Hill,POINT (-122.40883 37.788857),19,6,3,21,19
Merrill Lynch Pierce Etal Inc,Merrill,2310 Fillmore St,San Francisco,CA,1/1/13,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,,FALSE,FALSE,2,Pacific Heights,POINT (-122.434204 37.790874),102,4,6,30,102
Curtiss Sarah J,Sarah Curtiss Consulting,3664 16th St,San Francisco,CA,10/1/91,1/1/09,,3664 16th St,San Francisco,94114,CA,"Arts, Entertainment, and Recreation",FALSE,FALSE,8,Castro/Upper Market,POINT (-122.43451 37.76418),28,7,5,5,28
Levensohn Venture Partners Llc,Levensohn Venture Partners Llc,101 California St 1200,San Francisco,CA,7/1/96,7/25/10,7/11/11,,,,,Financial Services,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.39771 37.79347),108,6,3,8,108
Wechter J,San Francisco Treasure Hunts,912 Cole St #223,San Francisco,CA,11/23/05,11/23/05,,912 Cole St # 223,San Francisco,94117,CA,"Arts, Entertainment, and Recreation",FALSE,FALSE,5,Haight Ashbury,POINT (-122.44989 37.76562),29,7,11,3,29
Knuepfel George M,George Matthews And Associates,118 Hancock St,San Francisco,CA,11/1/09,11/1/09,5/1/14,118 Hancock St,San Francisco,94114,CA,,FALSE,FALSE,8,Castro/Upper Market,POINT (-122.43098 37.760357),52,3,5,5,52
Propark America West Llc,Propark America West Llc,542 Geary St,San Francisco,CA,8/1/01,7/1/08,4/6/13,Po Box 204,San Francisco,94104,CA,,FALSE,FALSE,3,Tenderloin,POINT (-122.41218 37.78688),50,6,3,36,50
Waner Janet S,Waner Janet S Phd,2919 Sacramento St #3,San Francisco,CA,7/1/90,5/1/01,7/8/19,2057 Divisadero St # 2,San Francisco,94115,CA,Private Education and Health Services,FALSE,FALSE,2,Pacific Heights,POINT (-122.440994 37.78892),102,8,6,30,102
Health Diagnostics Of California A Professional Corporation,San Francisco Sfmrc,1180 Post St,San Francisco,CA,4/14/08,4/14/08,4/14/08,6900 E Camelback Rd 700 Ste,Scottsdale,85251,AZ,"Professional, Scientific, and Technical Services",FALSE,FALSE,3,Nob Hill,POINT (-122.4212 37.786694),50,4,3,21,50
Propark America West Llc,Propark America West Llc,433 Mason St,San Francisco,CA,8/1/01,7/10/09,7/17/16,Po Box 204,San Francisco,94104,CA,,FALSE,FALSE,3,Tenderloin,POINT (-122.41 37.787624),50,6,3,36,50
Propark America West Llc,Pro Park America West Llc,334 Mason St,San Francisco,CA,8/1/01,11/1/12,4/1/15,Po Box 204,San Francisco,94104,CA,,FALSE,FALSE,3,Tenderloin,POINT (-122.40976 37.78677),19,5,3,36,19
Propark America West Llc,Pro Park America West Llc,750 Front St,San Francisco,CA,8/1/01,6/1/14,9/23/19,Po Box 204,San Francisco,94104,CA,,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.39975 37.79828),77,6,3,8,77
Merrill Lynch Pierce Etal Inc,Merrill,1335 4th St,San+francisco,CA,1/1/13,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,,FALSE,FALSE,6,Mission Bay,POINT (-122.39061 37.771473),34,1,10,4,34
Merrill Lynch Pierce Etal Inc,Merrill,2485 San Bruno Ave,San Francisco,CA,1/1/13,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,,FALSE,FALSE,9,Portola,POINT (-122.4048 37.73063),91,2,2,25,91
Merrill Lynch Pierce Etal Inc,Merrill,2701 Mission St,San Francisco,CA,1/1/13,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,,FALSE,FALSE,9,Mission,POINT (-122.41855 37.75375),53,3,2,20,53
Mcdowell Properties,Mcdowell Properties,601 Montgomery St 2000,San Francisco,CA,8/1/02,1/1/08,10/8/13,111 Pine St Ste 1850,San Francisco,94111,CA,,FALSE,FALSE,3,Chinatown,POINT (-122.40319 37.79475),104,6,3,6,104
Merrill Lynch Pierce Etal Inc,Merrill,1515 Sloat Blvd,San Francisco,CA,1/1/13,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,,FALSE,FALSE,7,Sunset/Parkside,POINT (-122.489235 37.734),43,10,8,35,43
Merrill Lynch Pierce Etal Inc,Merrill,15 Ocean Ave,San Francisco,CA,1/1/13,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,,FALSE,FALSE,11,Outer Mission,POINT (-122.43588 37.723824),80,9,1,28,80
Wilbur-Ellis Co,Wilbur-Ellis Co,345 California St Fl 27,San Francisco,CA,10/1/68,11/1/97,,345 California St 27 Fl,San Francisco,94104,CA,Wholesale Trade,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.40049 37.793114),108,6,3,8,108
Nyse Arca Inc,Nyse Arca Inc,845 Page Mill Rd,Palo+alto,CA,10/1/68,2/28/14,,5660 New Northside Dr Fl 3,Atlanta,30328,GA,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,POINT (-122.14383 37.420197),,,,,
Walker Debra D,Debra Walker,540 Alabama St #216,San Francisco,CA,1/1/98,1/1/98,,540 Alabama St # 218,San Francisco,94110,CA,"Arts, Entertainment, and Recreation",FALSE,FALSE,9,Mission,POINT (-122.412155 37.76238),53,3,2,20,53
Macdougall Laurie Jean,Macdougall & Company,306 Lily St Apt C,San Francisco,CA,6/28/02,6/28/02,4/29/21,,,,,"Arts, Entertainment, and Recreation",FALSE,FALSE,5,Hayes Valley,POINT (-122.426 37.77413),26,4,11,9,26
Farallon Geographics Inc,"Farallon Geographics Inc.,",601 Montgomery St Ste 1095,San Francisco,CA,9/3/03,10/1/13,,580 California St 16 #,San Francisco,94104,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,3,Chinatown,POINT (-122.40319 37.79475),104,6,3,6,104
Liu Elizabeth W,1178 Folsom St Bldg,1178 Folsom St,San Francisco,CA,10/2/79,10/2/79,,0000 Undeliverable Mail,San Francisco,99999,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,6,South of Market,POINT (-122.40962 37.775375),32,1,10,34,32
Hausrath Economics Group,Hausrath Economics Group,1212 Broadway  Ste 1500,Oakland,CA,4/13/98,4/13/98,2/19/21,981 Hillcroft Cir,Oakland,94610,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,POINT (-122.27082 37.803047),,,,,
Boutrin Anthony N,Sf Vendings,1945 Sutter St Apt K,San Francisco,CA,10/13/98,12/2/02,2/19/21,,,,,Food Services,FALSE,FALSE,5,Japantown,POINT (-122.432045 37.786213),101,4,11,15,101
Mozaffarian Shapur,Shapur,272 Post St,San Francisco,CA,5/9/81,1/1/08,3/1/21,155 Post St,San Francisco,94108,CA,Retail Trade,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.40631 37.788586),19,6,3,8,19
Wang James Y,The Well Modern Chiropractic,364 Hayes St 2nd Fl,San Francisco,CA,1/30/06,10/1/08,9/1/14,77 Van Ness Ave 101 Ste,San Francisco,94102,CA,Private Education and Health Services,FALSE,FALSE,5,Hayes Valley,POINT (-122.42238 37.776985),21,4,11,9,21
Honorway Investment Corp,Honorway Investment Corp,388 Market St Ste 1068,San Francisco,CA,1/1/73,2/11/87,,388 Market St 1068 Ste,San Francisco,94111,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.39818 37.79188),108,6,3,8,108
Walters & Wolf Glass Co,Walters & Wolf,2990 3rd St,San+francisco,CA,1/1/82,5/1/10,,41450 Boscell Rd,Fremont,94538,CA,Multiple,FALSE,FALSE,10,Bayview Hunters Point,POINT (-122.38802 37.7517),56,2,9,1,56
Boughan Kieran J,Kieran Boughan Architect,845 Waller St Apt 5,San Francisco,CA,11/1/02,11/1/02,,845 Waller St Apt 5,San Francisco,94117,CA,,FALSE,FALSE,8,Haight Ashbury,POINT (-122.4376 37.770214),112,7,5,3,112
Arkadin Inc,Arkadin Inc,5 Concourse Pkwy Ste 1600,Atlanta,GA,12/31/13,5/8/14,5/28/20,5 Concourse Pkwy 1600 Ste,Atlanta,30328,GA,Administrative and Support Services,FALSE,FALSE,,,POINT (-84.35473 33.917355),,,,,
Ihi Inc,Ihi Inc,50 Fremont St #3200,San Francisco,CA,7/1/91,1/1/95,3/31/21,,,,,Wholesale Trade,FALSE,FALSE,6,Financial District/South Beach,POINT (-122.3975 37.79107),108,6,10,8,108
Teva Pharmaceuticals Usa Inc,Teva Pharmaceuticals Usa Inc,1510 Delp Dr,Kulpsville,PA,1/1/00,1/1/00,,400 Interpace Pkwy Bldg D-Indirect Tax,Parsippany,7054,NJ,Wholesale Trade,FALSE,FALSE,,,POINT (-75.341064 40.25994),,,,,
Clinton Reilly Communications,Clinton Reilly Campaigns,465 California St Bld Offc,San Francisco,CA,12/31/92,2/27/97,6/30/19,465 California St 1600 Ste,San Francisco,94104,CA,,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.40225 37.79289),108,6,3,8,108
Wang James Y,Wangnd.com,355 Octavia St Unit 34,San Francisco,CA,1/30/06,4/16/19,6/30/20,77 Van Ness Ave 101 Ste,San Francisco,94102,CA,Private Education and Health Services,FALSE,FALSE,5,Hayes Valley,POINT (-122.42446 37.77548),22,4,11,9,22
Morrison Adam C,Bodytonic Therapeutic Massage,2064 Union St Ste 2,San Francisco,CA,6/3/09,6/3/09,3/5/21,1739 Washington St Apt 5,San Francisco,94109,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,2,Marina,POINT (-122.43325 37.7974),15,4,6,13,15
Alberts Daniel F,Daniel F Alberts Dpm,595 Buckingham Way Ste 330,San Francisco,CA,1/1/87,1/1/87,1/16/20,,,,,"Professional, Scientific, and Technical Services",FALSE,FALSE,7,Lakeshore,POINT (-122.47614 37.73018),41,10,8,16,41
Christ Katie A,Katie A Christ,2261 Market St #226,San Francisco,CA,1/1/05,1/1/14,,1057 Hill Rd,Glen Ellen,95442,CA,,FALSE,FALSE,8,Castro/Upper Market,POINT (-122.43218 37.7648),38,3,5,5,38
Ward Alene M,The Will And The Way-Penny Young,3234 Jennings St,San Francisco,CA,3/1/00,5/16/18,2/19/21,,,,,,FALSE,FALSE,10,Bayview Hunters Point,POINT (-122.39511 37.71996),88,2,9,1,88
Ward Alene M,The Will And The Way-Penny Young,253 Charter Oak Ave,San Francisco,CA,3/1/00,3/1/00,8/16/16,,,,,,FALSE,FALSE,10,Bayview Hunters Point,POINT (-122.40439 37.733727),87,2,9,1,87
United Rentals (North Ame) Inc,"United Rentals (North America), Inc. Dba United Rentals General",100 First Stamford Place 700,Stamford,CT,8/28/98,8/1/18,8/1/18,140 Grand St Ste 300,White Plains,10601,NY,Real Estate and Rental and Leasing Services,FALSE,FALSE,,,POINT (-73.54993 41.044167),,,,,
Notor Ralph C,Ralph Notor Mft,220 Montgomery St 400,San Francisco,CA,6/1/99,1/1/08,4/30/15,4518 18th St,San Francisco,94114,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,3,Financial District/South Beach,POINT (-122.4024 37.791214),108,6,3,8,108
Notor Ralph C,Ralph Notor Mft,582 Market St Ste 1108,San Francisco,CA,6/1/99,2/1/19,,4518 18th St,San Francisco,94114,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,3,Financial District/South Beach,POINT (-122.40166 37.789143),108,6,3,8,108
Burton Constance D,Constance Burton Jd Psy D,3352a Sacramento St,San Francisco,CA,1/1/10,1/1/10,3/15/13,,,,,,FALSE,FALSE,2,Presidio Heights,POINT (-122.44788 37.7881),10,8,6,31,10
Walgreen Co,Walgreens #03711,1189 Potrero Ave,San Francisco,CA,10/1/68,2/1/97,,300 Wilmot Rd # Stop,Deerfield,60015,IL,Retail Trade,FALSE,FALSE,10,Mission,POINT (-122.40632 37.75321),54,3,9,20,54
"Obrien Bernice,elaine,geneviev",1301 19th Av Bldg,1301 19th Ave,San Francisco,CA,2/23/90,2/23/90,,2587 Post St,San Francisco,94115,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,4,Sunset/Parkside,POINT (-122.47725 37.763485),39,10,7,35,39
On Lok Community Housing Inc,On Lok Community Housing Inc,1000 Montgomery St,San Francisco,CA,3/8/89,3/8/89,,1333 Bush St,San Francisco,94109,CA,,FALSE,FALSE,3,North Beach,POINT (-122.40385 37.798317),106,6,3,23,106
Mandy Scott Flowers Llc,Mandy Scott Flowers,1738 Union St A,San Francisco,CA,1/1/04,1/1/04,4/30/14,Po Box 470621,San Francisco,94147,CA,,FALSE,FALSE,2,Marina,POINT (-122.42794 37.798077),15,4,6,13,15
Mandy Scott Flowers Llc,Mandy Scott Events,1738 Union St A,San Francisco,CA,1/1/04,12/12/13,4/30/14,Po Box 470621,San Francisco,94147,CA,,FALSE,FALSE,2,Marina,POINT (-122.42794 37.798077),15,4,6,13,15
Mandy Scott Flowers Llc,Mandy Scott Events,981 Mission St,San Francisco,CA,1/1/04,3/1/17,,Po Box 470621,San Francisco,94147,CA,,FALSE,FALSE,6,South of Market,POINT (-122.40824 37.781303),32,1,10,34,32
Silverman Paul S,Paul Silverman Mft Lpcc,3896 24th St,San Francisco,CA,8/7/06,1/2/12,,Po Box 460932,San Francisco,94146,CA,Private Education and Health Services,FALSE,FALSE,8,Noe Valley,POINT (-122.42951 37.751606),84,3,5,22,84
Zimtricht Trichter Stephen M,Dr Stephen M Trichter Psy.d,110 Gough St Ste 202,San Francisco,CA,7/15/09,1/1/11,1/1/21,1732 Fillmore St,San Francisco,94115,CA,Private Education and Health Services,FALSE,FALSE,5,Hayes Valley,POINT (-122.42241 37.77428),21,4,11,9,21
Lamassonne Jr Luis A,Macmedic,721 Arguello Blvd Apt 302,San Francisco,CA,10/1/06,4/15/14,10/14/20,721 Arguello Blvd Apt 302,San Francisco,94118,CA,,FALSE,FALSE,1,Inner Richmond,POINT (-122.45859 37.776886),5,8,4,11,5
Cannon Wines Limited,Terroir 2 Shelf,1045 Sansome St 110,San Francisco,CA,10/1/86,2/29/16,,1045 Sansome St Ste 345,San Francisco,94111,CA,Administrative and Support Services,FALSE,FALSE,3,North Beach,POINT (-122.40254 37.7998),18,6,3,23,18
Hearst Corp The,The Hearst Corp,2000 Marin St,San Francisco,CA,10/1/68,1/1/10,4/30/15,3540 Toringdon Way Fl 8,Charlotte,28277,NC,Information,FALSE,FALSE,10,Bayview Hunters Point,POINT (-122.39612 37.74841),56,2,9,1,56
Zumper Inc,Zumper Inc,49 Geary St,San Francisco,CA,5/31/12,12/16/15,10/1/19,555 Montgomery St 1300 Ste,San Francisco,94111,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.40419 37.787846),19,6,3,8,19
United Rentals (North Ame) Inc,Rsc Equipment Rental Inc,2177 Jerrold Ave,San Francisco,CA,8/28/98,8/28/98,4/30/12,140 Grand St Ste 300,White Plains,10601,NY,Real Estate and Rental and Leasing Services,FALSE,FALSE,10,Bayview Hunters Point,POINT (-122.39993 37.74473),85,2,9,1,85
Gonzalez Ruben,Gonzalez Enterprizes,4422 23rd St #2,San Francisco,CA,8/1/13,5/1/15,,Po Box 31389,San Francisco,94131,CA,,FALSE,FALSE,8,Noe Valley,POINT (-122.44123 37.752495),51,3,5,22,51
American Bach Soloists,American Bach Soloists,44 Page St Ste 504,San Francisco,CA,1/1/99,1/1/99,,Po Box 421986,San Francisco,94142,CA,"Arts, Entertainment, and Recreation",FALSE,FALSE,5,Hayes Valley,POINT (-122.421265 37.774258),21,4,11,9,21
Pj Enterprise Group Inc,Adair Design Group,2101 Union St,San Francisco,CA,6/14/13,2/1/16,4/1/18,,,,,"Professional, Scientific, and Technical Services",FALSE,FALSE,2,Marina,POINT (-122.43395 37.797256),15,4,6,13,15
Mcdonald Michael W,Animist,1587 15th St Apt 405,San Francisco,CA,9/7/07,9/7/07,6/30/20,,,,,"Professional, Scientific, and Technical Services",FALSE,FALSE,9,Mission,POINT (-122.41936 37.766674),53,3,2,20,53
Emerson Jerome G,Jerome's Antiques,90 Parnassus Ave,San Francisco,CA,11/1/07,2/18/16,9/1/20,,,,,Retail Trade,FALSE,FALSE,5,Haight Ashbury,POINT (-122.449524 37.764927),29,7,11,3,29
Fpl Corporate Services Llc,Fpl Corporate Services Llc,220 Montgomery St Ste 344,San Francisco,CA,6/1/13,6/1/13,,123 N Wacker Dr 2500 Ste,Chicago,60606,IL,Administrative and Support Services,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.4024 37.791214),108,6,3,8,108
Deshetler Denise A,"Denise Deshetler, Cmt",870 Market Street  Ste 557,San Francisco,CA,6/17/10,1/4/18,3/19/21,,,,,Private Education and Health Services,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.40703 37.7849),19,5,3,8,19
Arthur Andreas,3195 California Bldg,3195 California St,San Francisco,CA,1/1/00,1/1/00,,3195 California St,San Francisco,94115,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,2,Presidio Heights,POINT (-122.446625 37.787254),103,8,6,31,103
Stern Earl Md Inc,Stern Earl Md Inc,1496 Portola Dr,San Francisco,CA,3/1/70,3/1/70,,10 Melba Ave,San Francisco,94132,CA,Private Education and Health Services,FALSE,FALSE,7,West of Twin Peaks,POINT (-122.46825 37.737556),46,10,8,41,46
Beck Enterprises,1111 17th St Bldg,1111 17th St,San Francisco,CA,5/1/73,5/1/73,,655 Redwood Hwy Frontage Rd Ste 177,Mill Valley,94941,CA,,FALSE,FALSE,10,Potrero Hill,POINT (-122.395195 37.765198),54,1,9,26,54
Bluestar Refreshment Services,Bluestar Refreshment Services@uber Technologies Inc.,71 Stevenson-Floors 12 And 13,San Francisco,CA,10/20/12,3/11/19,12/31/19,40800 Encyclopedia Cir,Fremont,94538,CA,Food Services,FALSE,FALSE,6,Financial District/South Beach,POINT (-122.4001 37.78934),108,6,10,8,108
Bluestar Refreshment Services,Bluestar Refreshment Services@uber Technologies Inc.,353 Sacramento - Floors 11 And 12,San Francisco,CA,10/20/12,11/19/18,12/31/19,40800 Encyclopedia Cir,Fremont,94538,CA,Food Services,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.39958 37.794178),108,6,3,8,108
Devil's Teeth Inc,Devils Teeth Inc.,3619 Balboa St,San Francisco,CA,1/15/14,2/2/20,,3876 Noriega St,San Francisco,94122,CA,Food Services,FALSE,FALSE,1,Outer Richmond,POINT (-122.49758 37.775677),8,8,4,29,8
Iniguez Teresa M,Tierra Morena,430 Staples Ave,San Francisco,CA,9/15/82,3/1/20,,430 Staples Ave,San Francisco,94112,CA,Certain Services,FALSE,FALSE,7,West of Twin Peaks,POINT (-122.45158 37.729088),95,9,8,41,95
Bay West Showplace Investors,101 Henry Adams Bldg,101 Henry Adams St,San Francisco,CA,4/9/83,4/9/83,3/31/21,2 Henry Adams St 2m-33 Ste,San Francisco,94103,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,10,Mission Bay,POINT (-122.40383 37.7685),33,1,9,4,33
Joyner Mattie K,Matties Alteration Shop,1045 Silver Ave,San Francisco,CA,6/1/84,6/1/84,,31 Stoneybrook Ave,San Francisco,94112,CA,Retail Trade,FALSE,FALSE,9,Portola,POINT (-122.415405 37.729187),92,2,2,25,92
Park Chin K,Print 1,1 Market St # S-528,San Francisco,CA,8/1/86,6/1/21,,1 Market St # S-528,San Francisco,94105,CA,Retail Trade,FALSE,FALSE,6,Financial District/South Beach,POINT (-122.39474 37.794384),108,6,10,8,108
Bon Appetit Management Co,Bon Appetit @ Dropbox,1800 Owens St,San+francisco,CA,7/1/87,6/10/21,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,Food Services,FALSE,FALSE,6,Potrero Hill,POINT (-122.39351 37.765236),34,1,10,26,34
Bon Appetit Management Co,Bon Appetit @ Aurora,85 Bluxome St Fl 3,San Francisco,CA,7/1/87,7/8/21,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,Food Services,FALSE,FALSE,6,South of Market,POINT (-122.39757 37.77622),32,1,10,34,32
Bon Appetit Management Co,Bon Appetit @ Aurora,85 Bluxome St Fl 2,San Francisco,CA,7/1/87,7/8/21,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,Food Services,FALSE,FALSE,6,South of Market,POINT (-122.39757 37.77622),32,1,10,34,32
Roderick P Bushnell Etal,Law Office Of Roderick P. Bushnell,1388 Sutter St Ste 810,San Francisco,CA,9/1/71,7/1/16,,1388 Sutter St Ste 810,San Francisco,94109,CA,Certain Services,FALSE,FALSE,2,Western Addition,POINT (-122.42315 37.7874),100,4,6,39,100
Roderick P Bushnell Etal,Law Office Of Roderick P. Bushnell,900 Kearny St #299,San Francisco,CA,9/1/71,1/9/08,,1388 Sutter St Ste 810,San Francisco,94109,CA,Certain Services,FALSE,FALSE,3,Chinatown,POINT (-122.40513 37.796303),106,6,3,6,106
Roderick P Bushnell Etal,Bushnell-Caplan-Fielding,900 Kearny St 299,San Francisco,CA,9/1/71,1/9/08,7/6/17,1388 Sutter St Ste 810,San Francisco,94109,CA,Certain Services,FALSE,FALSE,3,Chinatown,POINT (-122.40513 37.796303),106,6,3,6,106
United Rentals (North Ame) Inc,"United Rentals (North America), Inc.",2255 Mckinnon Ave,San Francisco,CA,8/28/98,7/24/19,7/24/19,140 Grand St Ste 300,White Plains,10601,NY,Real Estate and Rental and Leasing Services,FALSE,FALSE,10,Bayview Hunters Point,POINT (-122.401825 37.742966),85,2,9,1,85
Nichols Eric W,Object Studios,1241 24th Ave,San Francisco,CA,9/1/08,3/1/15,12/31/20,367 Newton Ave,Oakland,94606,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,4,Sunset/Parkside,POINT (-122.48259 37.764423),39,10,7,35,39
